Year,Date,Stage,Course,Distance,Type,Winner
1960,29/06/1960,4,Dieppe to Caen,211 km (131 mi),Plain stage,Jean Graczyk (FRA)
1960,30/06/1960,5,Caen to Saint-Malo,189 km (117 mi),Plain stage,André Darrigade (FRA)
1960,01/07/1960,6,Saint-Malo to Lorient,191 km (119 mi),Plain stage,Roger Rivière (FRA)
1960,02/07/1960,7,Lorient to Angers,244 km (152 mi),Plain stage,Graziano Battistini (ITA)
1960,03/07/1960,8,Angers to Limoges,240 km (150 mi),Plain stage,Nino Defilippis (ITA)
1960,04/07/1960,9,Limoges to Bordeaux,225 km (140 mi),Plain stage,Martin van Geneugden (BEL)
1960,05/07/1960,10,Mont-de-Marsan to Pau,228 km (142 mi),Stage with mountain(s),Roger Rivière (FRA)
1960,06/07/1960,11,Pau to Luchon,161 km (100 mi),Stage with mountain(s),Kurt Gimmi (SUI)
1960,07/07/1960,12,Luchon to Toulouse,176 km (109 mi),Stage with mountain(s),Jean Graczyk (FRA)
1960,08/07/1960,13,Toulouse to Millau,224 km (139 mi),Plain stage,Louis Proost (BEL)
1960,10/07/1960,14,Millau to Avignon,217 km (135 mi),Stage with mountain(s),Martin van Geneugden (BEL)
1960,11/07/1960,15,Avignon to Gap,187 km (116 mi),Stage with mountain(s),Michel Van Aerde (BEL)
1960,12/07/1960,16,Gap to Briançon,172 km (107 mi),Stage with mountain(s),Graziano Battistini (ITA)
1960,13/07/1960,17,Briançon to Aix-les-Bains,229 km (142 mi),Stage with mountain(s),Jean Graczyk (FRA)
1960,14/07/1960,18,Aix-les-Bains to Thonon-les-Bains,215 km (134 mi),Stage with mountain(s),Fernando Manzaneque (ESP)
1960,15/07/1960,19,Pontarlier to Besançon,83 km (52 mi),Individual time trial,Rolf Graf (SUI)
1960,16/07/1960,20,Besançon to Troyes,229 km (142 mi),Plain stage,Pierre Beuffeuil (FRA)
1960,17/07/1960,21,Troyes to Paris,200 km (120 mi),Plain stage,Jean Graczyk (FRA)
1961,25/06/1961,1a,Rouen to Versailles,136.5 km (84.8 mi),Plain stage,André Darrigade (FRA)
1961,25/06/1961,1b,Versailles,28.5 km (17.7 mi),Individual time trial,Jacques Anquetil (FRA)
1961,26/06/1961,2,Pontoise to Roubaix,230.5 km (143.2 mi),Plain stage,André Darrigade (FRA)
1961,27/06/1961,3,Roubaix to Charleroi (Belgium),197.5 km (122.7 mi),Plain stage,Emile Daems (BEL)
1961,28/06/1961,4,Charleroi (Belgium) to Metz,237.5 km (147.6 mi),Plain stage,Anatole Novak (FRA)
1961,29/06/1961,5,Metz to Strasbourg,221 km (137 mi),Stage with mountain(s),Louis Bergaud (FRA)
1961,30/06/1961,6,Strasbourg to Belfort,180.5 km (112.2 mi),Stage with mountain(s),Jozef Planckaert (BEL)
1961,01/07/1961,7,Belfort to Chalon-sur-Saône,214.5 km (133.3 mi),Plain stage,Jean Stablinski (FRA)
1961,02/07/1961,8,Chalon-sur-Saône to Saint-Étienne,240.5 km (149.4 mi),Stage with mountain(s),Jean Forestier (FRA)
1961,03/07/1961,9,Saint-Étienne to Grenoble,230 km (140 mi),Stage with mountain(s),Charly Gaul (LUX)
1961,04/07/1961,10,Grenoble to Turin (Italy),250.5 km (155.7 mi),Stage with mountain(s),Guy Ignolin (FRA)
1961,05/07/1961,11,Turin (Italy) to Antibes,225 km (140 mi),Stage with mountain(s),Guido Carlesi (ITA)
1961,06/07/1961,12,Antibes to Aix-en-Provence,199.0 km (123.7 mi),Stage with mountain(s),Michel Van Aerde (BEL)
1961,07/07/1961,13,Aix-en-Provence to Montpellier,177.5 km (110.3 mi),Plain stage,André Darrigade (FRA)
1961,09/07/1961,14,Montpellier to Perpignan,174 km (108 mi),Plain stage,Eddy Pauwels (BEL)
1961,10/07/1961,15,Perpignan to Toulouse,206 km (128 mi),Plain stage,Guido Carlesi (ITA)
1961,11/07/1961,16,Toulouse to Superbagnères,208 km (129 mi),Stage with mountain(s),Imerio Massignan (ITA)
1961,12/07/1961,17,Luchon to Pau,197 km (122 mi),Stage with mountain(s),Eddy Pauwels (BEL)
1961,13/07/1961,18,Pau to Bordeaux,207 km (129 mi),Plain stage,Martin Van Geneugden (BEL)
1961,14/07/1961,19,Bergerac to Périgueux,74.5 km (46.3 mi),Individual time trial,Jacques Anquetil (FRA)
1961,15/07/1961,20,Périgueux to Tours,309.5 km (192.3 mi),Plain stage,André Darrigade (FRA)
1961,16/07/1961,21,Tours to Paris,252.5 km (156.9 mi),Plain stage,Robert Cazala (FRA)
1962,24/06/1962,1,Nancy to Spa (Belgium),253 km (157 mi),Plain stage,Rudi Altig (FRG)
1962,25/06/1962,2a,Spa (Belgium) to Herentals (Belgium),147 km (91 mi),Plain stage,André Darrigade (FRA)
1962,25/06/1962,2b,Herentals (Belgium),23 km (14 mi),Team time trial,Faema–Flandria–Clement
1962,26/06/1962,3,Brussels (Belgium) to Amiens,210 km (130 mi),Plain stage,Rudi Altig (FRG)
1962,27/06/1962,4,Amiens to Le Havre,196.5 km (122.1 mi),Plain stage,Willy Vanden Berghen (BEL)
1962,28/06/1962,5,Pont l'Evêque to Saint-Malo,215 km (134 mi),Plain stage,Emile Daems (BEL)
1962,29/06/1962,6,Dinard to Brest,235.5 km (146.3 mi),Plain stage,Robert Cazala (FRA)
1962,30/06/1962,7,Quimper to Saint-Nazaire,201 km (125 mi),Plain stage,Huub Zilverberg (NED)
1962,01/07/1962,8a,Saint-Nazaire to Luçon,155 km (96 mi),Plain stage,Mario Minieri (ITA)
1962,01/07/1962,8b,Luçon to La Rochelle,43 km (27 mi),Individual time trial,Jacques Anquetil (FRA)
1962,02/07/1962,9,La Rochelle to Bordeaux,214 km (133 mi),Plain stage,Antonio Bailetti (ITA)
1962,03/07/1962,10,Bordeaux to Bayonne,184.5 km (114.6 mi),Plain stage,Willy Vannitsen (BEL)
1962,04/07/1962,11,Bayonne to Pau,155.5 km (96.6 mi),Plain stage,Eddy Pauwels (BEL)
1962,05/07/1962,12,Pau to Saint-Gaudens,207.5 km (128.9 mi),Stage with mountains,Robert Cazala (FRA)
1962,06/07/1962,13,Luchon to Superbagnères,18.5 km (11.5 mi),Mountain time trial,Federico Bahamontes (ESP)
1962,07/07/1962,14,Luchon to Carcassonne,215 km (134 mi),Stage with mountains,Jean Stablinski (FRA)
1962,08/07/1962,15,Carcassonne to Montpellier,196.5 km (122.1 mi),Plain stage,Willy Vannitsen (BEL)
1962,09/07/1962,16,Montpellier to Aix-en-Provence,185 km (115 mi),Plain stage,Emile Daems (BEL)
1962,10/07/1962,17,Aix-en-Provence to Antibes,201 km (125 mi),Plain stage,Rudi Altig (FRG)
1962,11/07/1962,18,Antibes to Briançon,241.5 km (150.1 mi),Stage with mountains,Emile Daems (BEL)
1962,12/07/1962,19,Briançon to Aix-les-Bains,204.5 km (127.1 mi),Stage with mountains,Raymond Poulidor (FRA)
1962,13/07/1962,20,Bourgoin to Lyon,68 km (42 mi),Individual time trial,Jacques Anquetil (FRA)
1962,14/07/1962,21,Lyon to Nevers,232 km (144 mi),Plain stage,Dino Bruni (ITA)
1962,15/07/1962,22,Nevers to Paris,271 km (168 mi),Plain stage,Rino Benedetti (ITA)
1963,23/06/1963,1,Paris to Épernay,152 km (94 mi),Plain stage,Eddy Pauwels (BEL)
1963,24/06/1963,2a,Reims to Jambes (Belgium),186 km (116 mi),Plain stage,Rik Van Looy (BEL)
1963,24/06/1963,2b,Jambes (Belgium),22 km (14 mi),Team time trial,Pelforth–Sauvage–Lejeune
1963,25/06/1963,3,Jambes (Belgium) to Roubaix,223 km (139 mi),Plain stage,Seamus Elliott (IRL)
1963,26/06/1963,4,Roubaix to Rouen,236 km (147 mi),Plain stage,Frans Melckenbeeck (BEL)
1963,27/06/1963,5,Rouen to Rennes,285 km (177 mi),Plain stage,Antonio Bailetti (ITA)
1963,28/06/1963,6a,Rennes to Angers,118 km (73 mi),Plain stage,Roger de Breuker (BEL)
1963,28/06/1963,6b,Angers,25 km (16 mi),Individual time trial,Jacques Anquetil (FRA)
1963,29/06/1963,7,Angers to Limoges,236 km (147 mi),Plain stage,Jan Janssen (NED)
1963,30/06/1963,8,Limoges to Bordeaux,232 km (144 mi),Plain stage,Rik Van Looy (BEL)
1963,01/07/1963,9,Bordeaux to Pau,202 km (126 mi),Plain stage,Pino Cerami (BEL)
1963,02/07/1963,10,Pau to Bagnères-de-Bigorre,148 km (92 mi),Stage with mountain(s),Jacques Anquetil (FRA)
1963,03/07/1963,11,Bagnères-de-Bigorre to Luchon,131 km (81 mi),Stage with mountain(s),Guy Ignolin (FRA)
1963,04/07/1963,12,Luchon to Toulouse,173 km (107 mi),Stage with mountain(s),André Darrigade (FRA)
1963,05/07/1963,13,Toulouse to Aurillac,234 km (145 mi),Plain stage,Rik Van Looy (BEL)
1963,07/07/1963,14,Aurillac to Saint-Étienne,237 km (147 mi),Plain stage,Guy Ignolin (FRA)
1963,08/07/1963,15,Saint-Étienne to Grenoble,174 km (108 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1963,09/07/1963,16,Grenoble to Val d'Isère,202 km (126 mi),Stage with mountain(s),Fernando Manzaneque (ESP)
1963,10/07/1963,17,Val d'Isère to Chamonix,228 km (142 mi),Stage with mountain(s),Jacques Anquetil (FRA)
1963,11/07/1963,18,Chamonix to Lons-le-Saunier,225 km (140 mi),Stage with mountain(s),Frans Brands (BEL)
1963,12/07/1963,19,Arbois to Besançon,54 km (34 mi),Individual time trial,Jacques Anquetil (FRA)
1963,13/07/1963,20,Besançon to Troyes,234 km (145 mi),Plain stage,Roger de Breuker (BEL)
1963,14/07/1963,21,Troyes to Paris,185 km (115 mi),Plain stage,Rik Van Looy (BEL)
1964,22/06/1964,1,Rennes to Lisieux,215 km (134 mi),Plain stage,Edward Sels (BEL)
1964,23/06/1964,2,Lisieux to Amiens,208 km (129 mi),Plain stage,André Darrigade (FRA)
1964,24/06/1964,3a,Amiens to Forest (Belgium),197 km (122 mi),Plain stage,Bernard Vandekerkhove (BEL)
1964,24/06/1964,3b,Forest (Belgium),21 km (13 mi),Team time trial,Kas–Kaskol
1964,25/06/1964,4,Forest (Belgium) to Metz,292 km (181 mi),Plain stage,Rudi Altig (FRG)
1964,26/06/1964,5,Lunéville to Freiburg (West Germany),161 km (100 mi),Plain stage,Willy Derboven (BEL)
1964,27/06/1964,6,Freiburg (West Germany) to Besançon,200 km (120 mi),Plain stage,Henk Nijdam (NED)
1964,28/06/1964,7,Besançon to Thonon-les-Bains,195 km (121 mi),Plain stage,Jan Janssen (NED)
1964,29/06/1964,8,Thonon-les-Bains to Briançon,249 km (155 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1964,30/06/1964,9,Briançon to Monaco,239 km (149 mi),Stage with mountain(s),Jacques Anquetil (FRA)
1964,01/07/1964,10a,Monaco to Hyères,187 km (116 mi),Plain stage,Jan Janssen (NED)
1964,01/07/1964,10b,Hyères to Toulon,21 km (13 mi),Individual time trial,Jacques Anquetil (FRA)
1964,02/07/1964,11,Toulon to Montpellier,250 km (160 mi),Plain stage,Edward Sels (BEL)
1964,03/07/1964,12,Montpellier to Perpignan,174 km (108 mi),Plain stage,Jo de Roo (NED)
1964,04/07/1964,13,Perpignan to Andorra,170 km (110 mi),Stage with mountain(s),Julio Jiménez (ESP)
1964,06/07/1964,14,Andorra to Toulouse,186 km (116 mi),Stage with mountain(s),Edward Sels (BEL)
1964,07/07/1964,15,Toulouse to Luchon,203 km (126 mi),Stage with mountain(s),Raymond Poulidor (FRA)
1964,08/07/1964,16,Luchon to Pau,197 km (122 mi),Stage with mountain(s),Federico Bahamontes (ESP)
1964,09/07/1964,17,Peyrehorade to Bayonne,43 km (27 mi),Individual time trial,Jacques Anquetil (FRA)
1964,10/07/1964,18,Bayonne to Bordeaux,187 km (116 mi),Plain stage,André Darrigade (FRA)
1964,11/07/1964,19,Bordeaux to Brive,215 km (134 mi),Plain stage,Edward Sels (BEL)
1964,12/07/1964,20,Brive to Puy de Dôme,217 km (135 mi),Stage with mountain(s),Julio Jiménez (ESP)
1964,13/07/1964,21,Clermont-Ferrand to Orléans,311 km (193 mi),Plain stage,Jean Stablinski (FRA)
1964,14/07/1964,22a,Orléans to Versailles,119 km (74 mi),Plain stage,Benoni Beheyt (BEL)
1964,14/07/1964,22b,Versailles to Paris,27 km (17 mi),Individual time trial,Jacques Anquetil (FRA)
1965,22/06/1965,1a,Cologne (West Germany) to Liège (Belgium),149 km (93 mi),Plain stage,Rik Van Looy (BEL)
1965,22/06/1965,1b,Liège (Belgium),22.5 km (14.0 mi),Team time trial,Ford France–Gitane
1965,23/06/1965,2,Liège (Belgium) to Roubaix,200.5 km (124.6 mi),Plain stage,Bernard Van De Kerkhove (BEL)
1965,24/06/1965,3,Roubaix to Rouen,240 km (150 mi),Plain stage,Felice Gimondi (ITA)
1965,25/06/1965,4,Caen to Saint-Brieuc,227 km (141 mi),Plain stage,Edgard Sorgeloos (BEL)
1965,26/06/1965,5a,Saint-Brieuc to Châteaulin,147 km (91 mi),Plain stage,Cees van Espen (NED)
1965,26/06/1965,5b,Châteaulin,26.7 km (16.6 mi),Individual time trial,Raymond Poulidor (FRA)
1965,27/06/1965,6,Quimper to La Baule,210.5 km (130.8 mi),Plain stage,Guido Reybrouck (BEL)
1965,28/06/1965,7,La Baule to La Rochelle,219 km (136 mi),Plain stage,Edward Sels (BEL)
1965,29/06/1965,8,La Rochelle to Bordeaux,197.5 km (122.7 mi),Plain stage,Johan de Roo (NED)
1965,30/06/1965,9,Dax to Bagnères-de-Bigorre,226.5 km (140.7 mi),Stage with mountain(s),Julio Jiménez (ESP)
1965,01/07/1965,10,Bagnères-de-Bigorre to Ax-les-Thermes,222.5 km (138.3 mi),Stage with mountain(s),Guido Reybrouck (BEL)
1965,02/07/1965,11,Ax-les-Thermes to Barcelona (Spain),240.5 km (149.4 mi),Stage with mountain(s),José Pérez Francés (ESP)
1965,04/07/1965,12,Barcelona (Spain) to Perpignan,219 km (136 mi),Plain stage,Jan Janssen (NED)
1965,05/07/1965,13,Perpignan to Montpellier,164 km (102 mi),Plain stage,Adriano Durante (ITA)
1965,06/07/1965,14,Montpellier to Mont Ventoux,173 km (107 mi),Stage with mountain(s),Raymond Poulidor (FRA)
1965,07/07/1965,15,Carpentras to Gap,167.5 km (104.1 mi),Stage with mountain(s),Giuseppe Fezzardi (ITA)
1965,08/07/1965,16,Gap to Briançon,177 km (110 mi),Stage with mountain(s),Joaquim Galera (ESP)
1965,09/07/1965,17,Briançon to Aix-les-Bains,193.5 km (120.2 mi),Stage with mountain(s),Julio Jiménez (ESP)
1965,10/07/1965,18,Aix-les-Bains to Le Revard,26.9 km (16.7 mi),Mountain time trial,Felice Gimondi (ITA)
1965,11/07/1965,19,Aix-les-Bains to Lyon,165 km (103 mi),Stage with mountain(s),Rik Van Looy (BEL)
1965,12/07/1965,20,Lyon to Auxerre,198.5 km (123.3 mi),Plain stage,Michael Wright (GBR)
1965,13/07/1965,21,Auxerre to Versailles,225.5 km (140.1 mi),Plain stage,Gerben Karstens (NED)
1965,14/07/1965,22,Versailles to Paris,37.8 km (23.5 mi),Individual time trial,Felice Gimondi (ITA)
1966,21/06/1966,1,Nancy to Charleville,209 km (130 mi),Plain stage,Rudi Altig (FRG)
1966,22/06/1966,2,Charleville to Tournai (Belgium),198 km (123 mi),Plain stage,Guido Reybrouck (BEL)
1966,23/06/1966,3a,Tournai (Belgium),21 km (13 mi),Team time trial,Televizier–Batavus
1966,23/06/1966,3b,Tournai to Dunkirk,131 km (81 mi),Plain stage,Gerben Karstens (NED)
1966,24/06/1966,4,Dunkirk to Dieppe,205 km (127 mi),Plain stage,Willy Planckaert (BEL)
1966,25/06/1966,5,Dieppe to Caen,178 km (111 mi),Plain stage,Franco Bitossi (ITA)
1966,26/06/1966,6,Caen to Angers,217 km (135 mi),Plain stage,Edward Sels (BEL)
1966,27/06/1966,7,Angers to Royan,252 km (157 mi),Plain stage,Albert Van Vlierberghe (BEL)
1966,28/06/1966,8,Royan to Bordeaux,138 km (86 mi),Plain stage,Willy Planckaert (BEL)
1966,29/06/1966,9,Bordeaux to Bayonne,201 km (125 mi),Plain stage,Gerben Karstens (NED)
1966,30/06/1966,10,Bayonne to Pau,234 km (145 mi),Stage with mountain(s),Tommaso de Pra (ITA)
1966,01/07/1966,11,Pau to Luchon,188 km (117 mi),Stage with mountain(s),Guido Marcello Mugnaini (ITA)
1966,03/07/1966,12,Luchon to Revel,219 km (136 mi),Stage with mountain(s),Rudi Altig (FRG)
1966,04/07/1966,13,Revel to Sète,191 km (119 mi),Plain stage,Georges Vandenberghe (BEL)
1966,05/07/1966,14a,Montpellier to Aubenas,144 km (89 mi),Plain stage,Jo de Roo (NED)
1966,05/07/1966,14b,Vals-les-Bains,20 km (12 mi),Individual time trial,Raymond Poulidor (FRA)
1966,06/07/1966,15,Privas to Le Bourg-d'Oisans,203 km (126 mi),Stage with mountain(s),Luís Otano (ESP)
1966,07/07/1966,16,Le Bourg-d'Oisans to Briançon,148 km (92 mi),Stage with mountain(s),Julio Jiménez (ESP)
1966,08/07/1966,17,Briançon to Turin (Italy),160 km (99 mi),Stage with mountain(s),Franco Bitossi (ITA)
1966,10/07/1966,18,Ivrea (Italy) to Chamonix,188 km (117 mi),Stage with mountain(s),Edy Schütz (LUX)
1966,11/07/1966,19,Chamonix to Saint-Étienne,265 km (165 mi),Stage with mountain(s),Ferdinand Bracke (BEL)
1966,12/07/1966,20,Saint-Étienne to Montluçon,223 km (139 mi),Plain stage,Henk Nijdam (NED)
1966,13/07/1966,21,Montluçon to Orléans,232 km (144 mi),Plain stage,Pierre Beuffeuil (FRA)
1966,14/07/1966,22a,Orléans to Rambouillet,111 km (69 mi),Plain stage,Edward Sels (BEL)
1966,14/07/1966,22b,Rambouillet to Paris,51 km (32 mi),Individual time trial,Rudi Altig (FRG)
1967,29/06/1967,1a,Angers,5.775 km (3.588 mi),Individual time trial,José-Maria Errandonea (ESP)
1967,30/06/1967,1b,Angers to Saint-Malo,185.5 km (115.3 mi),Plain stage,Walter Godefroot (BEL)
1967,01/07/1967,2,Saint-Malo to Caen,180 km (110 mi),Plain stage,Willy Van Neste (BEL)
1967,02/07/1967,3,Caen to Amiens,248 km (154 mi),Plain stage,Marino Basso (ITA)
1967,03/07/1967,4,Amiens to Roubaix,191 km (119 mi),Plain stage,Guido Reybrouck (BEL)
1967,04/07/1967,5a,Roubaix to Jambes (Belgium),172 km (107 mi),Plain stage,Roger Pingeon (FRA)
1967,04/07/1967,5b,Jambes (Belgium),17 km (11 mi),Team time trial,Belgium
1967,05/07/1967,6,Jambes to Metz,238 km (148 mi),Plain stage,Herman Van Springel (BEL)
1967,06/07/1967,7,Metz to Strasbourg,205.5 km (127.7 mi),Stage with mountain(s),Michael Wright (GBR)
1967,07/07/1967,8,Strasbourg to Belfort/Ballon d'Alsace,215 km (134 mi),Stage with mountain(s),Lucien Aimar (FRA)
1967,09/07/1967,9,Belfort to Divonne-les-Bains,238.5 km (148.2 mi),Stage with mountain(s),Guido Reybrouck (BEL)
1967,10/07/1967,10,Divonne-les-Bains to Briançon,243 km (151 mi),Stage with mountain(s),Felice Gimondi (ITA)
1967,11/07/1967,11,Briançon to Digne,197 km (122 mi),Stage with mountain(s),José Samyn (FRA)
1967,12/07/1967,12,Digne to Marseille,207.5 km (128.9 mi),Plain stage,Raymond Riotte (FRA)
1967,13/07/1967,13,Marseille to Carpentras,211.5 km (131.4 mi),Stage with mountain(s),Jan Janssen (NED)
1967,14/07/1967,14,Carpentras to Sète,201.5 km (125.2 mi),Plain stage,Barry Hoban (GBR)
1967,16/07/1967,15,Sète to Toulouse,230.5 km (143.2 mi),Plain stage,Rolf Wolfshohl (FRG)
1967,17/07/1967,16,Toulouse to Luchon,188 km (117 mi),Stage with mountain(s),Fernando Manzaneque (ESP)
1967,18/07/1967,17,Luchon to Pau,250 km (160 mi),Stage with mountain(s),Raymond Mastrotto (FRA)
1967,19/07/1967,18,Pau to Bordeaux,206.5 km (128.3 mi),Plain stage,Marino Basso (ITA)
1967,20/07/1967,19,Bordeaux to Limoges,217 km (135 mi),Plain stage,Jean Stablinski (FRA)
1967,21/07/1967,20,Limoges to Puy-de-Dôme,222 km (138 mi),Stage with mountain(s),Felice Gimondi (ITA)
1967,22/07/1967,21,Clermont-Ferrand to Fontainebleau,359 km (223 mi),Plain stage,Paul Lemeteyer (FRA)
1967,23/07/1967,22a,Fontainebleau to Versailles,104 km (65 mi),Plain stage,René Binggeli (SUI)
1967,23/07/1967,22b,Versailles to Paris,46.6 km (29.0 mi),Individual time trial,Raymond Poulidor (FRA)
1968,27/06/1968,1a,Vittel,6.1 km (3.8 mi),Individual time trial,Charly Grosskost (FRA)
1968,28/06/1968,1b,Vittel to Esch-sur-Alzette (Luxembourg),189 km (117 mi),Plain stage,Charly Grosskost (FRA)
1968,29/06/1968,2,Arlon (Belgium) to Forest (Belgium),210.5 km (130.8 mi),Plain stage,Erik de Vlaeminck (BEL)
1968,30/06/1968,3a,Forest (Belgium),22 km (14 mi),Team time trial,Belgium A
1968,30/06/1968,3b,Forest (Belgium) to Roubaix,112 km (70 mi),Plain stage,Walter Godefroot (BEL)
1968,01/07/1968,4,Roubaix to Rouen,238 km (148 mi),Plain stage,Georges Chappe (FRA)
1968,02/07/1968,5a,Rouen to Bagnoles-de-l'Orne,165 km (103 mi),Plain stage,André Desvages (FRA)
1968,02/07/1968,5b,Bagnoles-de-l'Orne to Dinard,154.5 km (96.0 mi),Plain stage,Jean Dumont (FRA)
1968,03/07/1968,6,Dinard to Lorient,188 km (117 mi),Plain stage,Aurelio González Puente (ESP)
1968,04/07/1968,7,Lorient to Nantes,190 km (120 mi),Plain stage,Franco Bitossi (ITA)
1968,05/07/1968,8,Nantes to Royan,223 km (139 mi),Plain stage,Daniel Van Ryckeghem (BEL)
1968,07/07/1968,9,Royan to Bordeaux,137.5 km (85.4 mi),Plain stage,Walter Godefroot (BEL)
1968,08/07/1968,10,Bordeaux to Bayonne,202.5 km (125.8 mi),Plain stage,Gilbert Bellone (FRA)
1968,09/07/1968,11,Bayonne to Pau,183.5 km (114.0 mi),Plain stage,Daniel Van Ryckeghem (BEL)
1968,10/07/1968,12,Pau to Saint-Gaudens,226.5 km (140.7 mi),Stage with mountain(s),Georges Pintens (BEL)
1968,11/07/1968,13,Saint-Gaudens to La Seu d'Urgell (Spain),208.5 km (129.6 mi),Stage with mountain(s),Herman Van Springel (BEL)
1968,12/07/1968,14,La Seu d'Urgell to Perpignan,231.5 km (143.8 mi),Stage with mountain(s),Jan Janssen (NED)
